BlockPath,BlockType,LibraryLink,Parameter,Value
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","IsSubsystemVirtual","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","Variant","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","VariantChoices","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","VariantControlMode","expression"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","VariantActivationTime","update diagram"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","AllowZeroVariantControls","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","PropagateVariantConditions","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","TreatAsGroupedWhenPropagatingVariantConditions","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","Latency","0"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","AutoFrameSizeCalculation","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay","SubSystem","","CompiledVariantActivationTime","update diagram"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","Port","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","LatchByDelayingOutsideSignal","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","LatchInputForFeedbackSignals","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","Interpolate","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","MessageQueueUseDefaultAttributes","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","MessageQueueCapacity","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","MessageQueueType","LIFO"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","MessageQueueOverwriting","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/In1","Inport","","EventTriggers","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","Port","2"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","LatchByDelayingOutsideSignal","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","LatchInputForFeedbackSignals","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","Interpolate","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","MessageQueueUseDefaultAttributes","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","MessageQueueCapacity","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","MessageQueueType","LIFO"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","MessageQueueOverwriting","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport","Inport","","EventTriggers","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","Port","3"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","LatchByDelayingOutsideSignal","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","LatchInputForFeedbackSignals","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","Interpolate","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","MessageQueueUseDefaultAttributes","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","MessageQueueCapacity","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","MessageQueueType","LIFO"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","MessageQueueOverwriting","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport1","Inport","","EventTriggers","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","Port","4"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","LatchByDelayingOutsideSignal","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","LatchInputForFeedbackSignals","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","Interpolate","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","MessageQueueUseDefaultAttributes","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","MessageQueueCapacity","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","MessageQueueType","LIFO"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","MessageQueueOverwriting","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport2","Inport","","EventTriggers","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","Port","5"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","LatchByDelayingOutsideSignal","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","LatchInputForFeedbackSignals","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","Interpolate","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","MessageQueueUseDefaultAttributes","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","MessageQueueCapacity","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","MessageQueueType","LIFO"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","MessageQueueOverwriting","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport3","Inport","","EventTriggers","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","Port","6"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","LatchByDelayingOutsideSignal","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","LatchInputForFeedbackSignals","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","Interpolate","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","MessageQueueUseDefaultAttributes","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","MessageQueueCapacity","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","MessageQueueType","LIFO"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","MessageQueueOverwriting","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Inport4","Inport","","EventTriggers","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","ZeroCross","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","OutDataTypeStr","Inherit: Same as input"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs","Abs","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","ZeroCross","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","OutDataTypeStr","Inherit: Same as input"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs1","Abs","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","ZeroCross","on"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","OutDataTypeStr","Inherit: Same as input"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Abs2","Abs","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","OutDataTypeStr","boolean"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","ConvertRealWorld","Real World Value (RWV)"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Data Type Conversion","DataTypeConversion","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Demux1","Demux","","Outputs","3"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Demux1","Demux","","DisplayOption","bar"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Demux2","Demux","","Outputs","3"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Demux2","Demux","","DisplayOption","bar"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display","Display","","Format","short"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display","Display","","Decimation","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display","Display","","Floating","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display1","Display","","Format","short"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display1","Display","","Decimation","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display1","Display","","Floating","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display2","Display","","Format","short"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display2","Display","","Decimation","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display2","Display","","Floating","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display3","Display","","Format","short"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display3","Display","","Decimation","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display3","Display","","Floating","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display4","Display","","Format","short"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display4","Display","","Decimation","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display4","Display","","Floating","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display5","Display","","Format","short"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display5","Display","","Decimation","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Display5","Display","","Floating","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","Gain","0.5"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","Multiplication","Element-wise(K.*u)"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","ParamMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","ParamMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","ParamDataTypeStr","Inherit: Inherit via internal rule"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","OutDataTypeStr","Inherit: Inherit via internal rule"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/Gain","Gain","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","IconShape","rectangular"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","Inputs","|+-"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","CollapseMode","All dimensions"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","CollapseDim","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","InputSameDT","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","AccumDataTypeStr","Inherit: Inherit via internal rule"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","OutDataTypeStr","Inherit: Inherit via internal rule"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_diff","Sum","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","IconShape","rectangular"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","Inputs","|++"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","CollapseMode","All dimensions"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","CollapseDim","1"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","InputSameDT","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","AccumDataTypeStr","Inherit: Inherit via internal rule"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","OutDataTypeStr","Inherit: Inherit via internal rule"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","RndMeth","Floor"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","SaturateOnIntegerOverflow","off"
"TransformerWithCTSaturationz_DISCONNECTED/Hybrid 87T Relay/I_rest","Sum","","SampleTime","-1"
